mavpackettype,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_RPM,225444408,3,369992701,-1220636426,0,65535,65535,22,0,255,0,0,0,0,0,0,1,0.0,225483,-0.07695570588111877,-0.02878311648964882,-0.14573733508586884,-0.9859057068824768,0.011984591372311115,0.02689874917268753,0.0066581061109900475,"[0.0, 0.0, 0.0, 0.0]",-9.453207969665527,3.336456537246704,0.0,0.19743666052818298,-0.03235936164855957,0.0,10,0,192,0,3,3
RAW_RPM,225444408,3,369992701,-1220636426,0,65535,65535,22,0,255,0,0,0,0,0,0,2,0.44730883836746216,225483,-0.07695570588111877,-0.02878311648964882,-0.14573733508586884,-0.9859057068824768,0.011984591372311115,0.02689874917268753,0.0066581061109900475,"[0.0, 0.0, 0.0, 0.0]",-9.453207969665527,3.336456537246704,0.0,0.19743666052818298,-0.03235936164855957,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,225444408,3,369992701,-1220636426,0,65535,65535,22,0,255,0,0,0,0,0,0,2,0.44730883836746216,225534,-0.0788780227303505,-0.02527700737118721,-0.14396704733371735,-0.9861099123954773,0.001864269725047052,0.012250914238393307,-0.012250914238393307,"[0.0, 0.0, 0.0, 0.0]",-9.453207969665527,3.336456537246704,0.0,0.19743666052818298,-0.03235936164855957,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,225444408,3,369992701,-1220636426,0,65535,65535,22,0,255,0,0,0,0,0,0,2,0.44730883836746216,225535,-0.0788780227303505,-0.02527700737118721,-0.14396704733371735,-0.9861099123954773,0.001864269725047052,0.012250914238393307,-0.012250914238393307,"[0.0, 0.0, 0.0, 0.0]",-9.442551612854004,3.3346874713897705,0.0,0.16443467140197754,-0.027449533343315125,0.0,10,0,192,0,3,3
GPS_RAW_INT,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.44730883836746216,225535,-0.0788780227303505,-0.02527700737118721,-0.14396704733371735,-0.9861099123954773,0.001864269725047052,0.012250914238393307,-0.012250914238393307,"[0.0, 0.0, 0.0, 0.0]",-9.442551612854004,3.3346874713897705,0.0,0.16443467140197754,-0.027449533343315125,0.0,10,0,192,0,3,3
RAW_RPM,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,0,0.04103398695588112,225535,-0.0788780227303505,-0.02527700737118721,-0.14396704733371735,-0.9861099123954773,0.001864269725047052,0.012250914238393307,-0.012250914238393307,"[0.0, 0.0, 0.0, 0.0]",-9.442551612854004,3.3346874713897705,0.0,0.16443467140197754,-0.027449533343315125,0.0,10,0,192,0,3,3
RAW_RPM,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,1,0.037582531571388245,225535,-0.0788780227303505,-0.02527700737118721,-0.14396704733371735,-0.9861099123954773,0.001864269725047052,0.012250914238393307,-0.012250914238393307,"[0.0, 0.0, 0.0, 0.0]",-9.442551612854004,3.3346874713897705,0.0,0.16443467140197754,-0.027449533343315125,0.0,10,0,192,0,3,3
RAW_RPM,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.49856293201446533,225535,-0.0788780227303505,-0.02527700737118721,-0.14396704733371735,-0.9861099123954773,0.001864269725047052,0.012250914238393307,-0.012250914238393307,"[0.0, 0.0, 0.0, 0.0]",-9.442551612854004,3.3346874713897705,0.0,0.16443467140197754,-0.027449533343315125,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.49856293201446533,225585,-0.07845281809568405,-0.03198998048901558,-0.14153096079826355,-0.986301600933075,0.09188186377286911,0.11957957595586777,0.06258619576692581,"[0.0, 0.0, 0.0, 0.0]",-9.442551612854004,3.3346874713897705,0.0,0.16443467140197754,-0.027449533343315125,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.49856293201446533,225585,-0.07845281809568405,-0.03198998048901558,-0.14153096079826355,-0.986301600933075,0.09188186377286911,0.11957957595586777,0.06258619576692581,"[0.0, 0.0, 0.0, 0.0]",-9.435257911682129,3.333467960357666,0.0,0.1298292726278305,-0.02169881761074066,0.0,10,0,192,0,3,3
RAW_RPM,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,0,0.113131083548069,225585,-0.07845281809568405,-0.03198998048901558,-0.14153096079826355,-0.986301600933075,0.09188186377286911,0.11957957595586777,0.06258619576692581,"[0.0, 0.0, 0.0, 0.0]",-9.435257911682129,3.333467960357666,0.0,0.1298292726278305,-0.02169881761074066,0.0,10,0,192,0,3,3
RAW_RPM,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,1,0.08436894416809082,225585,-0.07845281809568405,-0.03198998048901558,-0.14153096079826355,-0.986301600933075,0.09188186377286911,0.11957957595586777,0.06258619576692581,"[0.0, 0.0, 0.0, 0.0]",-9.435257911682129,3.333467960357666,0.0,0.1298292726278305,-0.02169881761074066,0.0,10,0,192,0,3,3
RAW_RPM,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.5376507043838501,225585,-0.07845281809568405,-0.03198998048901558,-0.14153096079826355,-0.986301600933075,0.09188186377286911,0.11957957595586777,0.06258619576692581,"[0.0, 0.0, 0.0, 0.0]",-9.435257911682129,3.333467960357666,0.0,0.1298292726278305,-0.02169881761074066,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.5376507043838501,225636,-0.07809753715991974,-0.05412582680583,-0.1364145427942276,-0.9860842823982239,0.03195890784263611,0.21252673864364624,0.2591334879398346,"[0.0, 0.0, 0.0, 0.0]",-9.435257911682129,3.333467960357666,0.0,0.1298292726278305,-0.02169881761074066,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,225545008,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.5376507043838501,225636,-0.07809753715991974,-0.05412582680583,-0.1364145427942276,-0.9860842823982239,0.03195890784263611,0.21252673864364624,0.2591334879398346,"[0.0, 0.0, 0.0, 0.0]",-9.43044662475586,3.332655191421509,0.0,0.06942415982484818,-0.01203223131597042,0.0,10,0,192,0,3,3
GPS_RAW_INT,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.5376507043838501,225636,-0.07809753715991974,-0.05412582680583,-0.1364145427942276,-0.9860842823982239,0.03195890784263611,0.21252673864364624,0.2591334879398346,"[0.0, 0.0, 0.0, 0.0]",-9.43044662475586,3.332655191421509,0.0,0.06942415982484818,-0.01203223131597042,0.0,10,0,192,0,3,3
RAW_RPM,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,0,0.1733398288488388,225636,-0.07809753715991974,-0.05412582680583,-0.1364145427942276,-0.9860842823982239,0.03195890784263611,0.21252673864364624,0.2591334879398346,"[0.0, 0.0, 0.0, 0.0]",-9.43044662475586,3.332655191421509,0.0,0.06942415982484818,-0.01203223131597042,0.0,10,0,192,0,3,3
RAW_RPM,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,1,0.15915051102638245,225636,-0.07809753715991974,-0.05412582680583,-0.1364145427942276,-0.9860842823982239,0.03195890784263611,0.21252673864364624,0.2591334879398346,"[0.0, 0.0, 0.0, 0.0]",-9.43044662475586,3.332655191421509,0.0,0.06942415982484818,-0.01203223131597042,0.0,10,0,192,0,3,3
RAW_RPM,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.5707846879959106,225636,-0.07809753715991974,-0.05412582680583,-0.1364145427942276,-0.9860842823982239,0.03195890784263611,0.21252673864364624,0.2591334879398346,"[0.0, 0.0, 0.0, 0.0]",-9.43044662475586,3.332655191421509,0.0,0.06942415982484818,-0.01203223131597042,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.5707846879959106,225687,-0.0765661969780922,-0.05816412344574928,-0.13909772038459778,-0.9855995774269104,0.037019066512584686,-0.07403813302516937,0.01731107570230961,"[0.0, 0.0, 0.0, 0.0]",-9.43044662475586,3.332655191421509,0.0,0.06942415982484818,-0.01203223131597042,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.5707846879959106,225687,-0.0765661969780922,-0.05816412344574928,-0.13909772038459778,-0.9855995774269104,0.037019066512584686,-0.07403813302516937,0.01731107570230961,"[0.0, 0.0, 0.0, 0.0]",-9.429616928100586,3.332512855529785,0.0,-0.02379312738776207,0.004079451784491539,0.0,10,0,192,0,3,3
RAW_RPM,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,0,0.046786416321992874,225687,-0.0765661969780922,-0.05816412344574928,-0.13909772038459778,-0.9855995774269104,0.037019066512584686,-0.07403813302516937,0.01731107570230961,"[0.0, 0.0, 0.0, 0.0]",-9.429616928100586,3.332512855529785,0.0,-0.02379312738776207,0.004079451784491539,0.0,10,0,192,0,3,3
RAW_RPM,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,1,0.18484468758106232,225687,-0.0765661969780922,-0.05816412344574928,-0.13909772038459778,-0.9855995774269104,0.037019066512584686,-0.07403813302516937,0.01731107570230961,"[0.0, 0.0, 0.0, 0.0]",-9.429616928100586,3.332512855529785,0.0,-0.02379312738776207,0.004079451784491539,0.0,10,0,192,0,3,3
RAW_RPM,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.6021066904067993,225687,-0.0765661969780922,-0.05816412344574928,-0.13909772038459778,-0.9855995774269104,0.037019066512584686,-0.07403813302516937,0.01731107570230961,"[0.0, 0.0, 0.0, 0.0]",-9.429616928100586,3.332512855529785,0.0,-0.02379312738776207,0.004079451784491539,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.6021066904067993,225738,-0.07666096836328506,-0.05860750749707222,-0.14183224737644196,-0.9851760864257812,-0.0034622149541974068,0.09853996336460114,0.17204545438289642,"[0.0, 0.0, 0.0, 0.0]",-9.429616928100586,3.332512855529785,0.0,-0.02379312738776207,0.004079451784491539,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,225646006,3,369992703,-1220636425,0,65535,65535,0,0,255,0,0,0,0,0,0,2,0.6021066904067993,225738,-0.07666096836328506,-0.05860750749707222,-0.14183224737644196,-0.9851760864257812,-0.0034622149541974068,0.09853996336460114,0.17204545438289642,"[0.0, 0.0, 0.0, 0.0]",-9.433965682983398,3.333254098892212,0.0,-0.1251726597547531,0.021294940263032913,0.0,10,0,192,0,3,3
GPS_RAW_INT,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,2,0.6021066904067993,225738,-0.07666096836328506,-0.05860750749707222,-0.14183224737644196,-0.9851760864257812,-0.0034622149541974068,0.09853996336460114,0.17204545438289642,"[0.0, 0.0, 0.0, 0.0]",-9.433965682983398,3.333254098892212,0.0,-0.1251726597547531,0.021294940263032913,0.0,10,0,192,0,3,3
RAW_RPM,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,0,0.004218447487801313,225738,-0.07666096836328506,-0.05860750749707222,-0.14183224737644196,-0.9851760864257812,-0.0034622149541974068,0.09853996336460114,0.17204545438289642,"[0.0, 0.0, 0.0, 0.0]",-9.433965682983398,3.333254098892212,0.0,-0.1251726597547531,0.021294940263032913,0.0,10,0,192,0,3,3
RAW_RPM,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,1,0.1691213846206665,225738,-0.07666096836328506,-0.05860750749707222,-0.14183224737644196,-0.9851760864257812,-0.0034622149541974068,0.09853996336460114,0.17204545438289642,"[0.0, 0.0, 0.0, 0.0]",-9.433965682983398,3.333254098892212,0.0,-0.1251726597547531,0.021294940263032913,0.0,10,0,192,0,3,3
RAW_RPM,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,2,0.6259217262268066,225738,-0.07666096836328506,-0.05860750749707222,-0.14183224737644196,-0.9851760864257812,-0.0034622149541974068,0.09853996336460114,0.17204545438289642,"[0.0, 0.0, 0.0, 0.0]",-9.433965682983398,3.333254098892212,0.0,-0.1251726597547531,0.021294940263032913,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,2,0.6259217262268066,225789,-0.06972545385360718,-0.07214228808879852,-0.15917085111141205,-0.9821398258209229,-0.2759118974208832,0.10466542840003967,0.3073381781578064,"[0.0, 0.0, 0.0, 0.0]",-9.433965682983398,3.333254098892212,0.0,-0.1251726597547531,0.021294940263032913,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,2,0.6259217262268066,225789,-0.06972545385360718,-0.07214228808879852,-0.15917085111141205,-0.9821398258209229,-0.2759118974208832,0.10466542840003967,0.3073381781578064,"[0.0, 0.0, 0.0, 0.0]",-9.44214153289795,3.3346052169799805,0.0,-0.1827729344367981,0.02949617989361286,0.0,10,0,192,0,3,3
RAW_RPM,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,0,0.07554855942726135,225789,-0.06972545385360718,-0.07214228808879852,-0.15917085111141205,-0.9821398258209229,-0.2759118974208832,0.10466542840003967,0.3073381781578064,"[0.0, 0.0, 0.0, 0.0]",-9.44214153289795,3.3346052169799805,0.0,-0.1827729344367981,0.02949617989361286,0.0,10,0,192,0,3,3
RAW_RPM,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,1,0.271898090839386,225789,-0.06972545385360718,-0.07214228808879852,-0.15917085111141205,-0.9821398258209229,-0.2759118974208832,0.10466542840003967,0.3073381781578064,"[0.0, 0.0, 0.0, 0.0]",-9.44214153289795,3.3346052169799805,0.0,-0.1827729344367981,0.02949617989361286,0.0,10,0,192,0,3,3
RAW_RPM,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,2,0.6489601731300354,225789,-0.06972545385360718,-0.07214228808879852,-0.15917085111141205,-0.9821398258209229,-0.2759118974208832,0.10466542840003967,0.3073381781578064,"[0.0, 0.0, 0.0, 0.0]",-9.44214153289795,3.3346052169799805,0.0,-0.1827729344367981,0.02949617989361286,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,2,0.6489601731300354,225840,-0.061096712946891785,-0.07636082917451859,-0.16889552772045135,-0.980770468711853,-0.2807057201862335,-0.2500784397125244,0.6884481906890869,"[0.0, 0.0, 0.0, 0.0]",-9.44214153289795,3.3346052169799805,0.0,-0.1827729344367981,0.02949617989361286,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,225747003,3,369992703,-1220636425,0,65535,65535,4,0,255,0,0,0,0,0,0,2,0.6489601731300354,225840,-0.061096712946891785,-0.07636082917451859,-0.16889552772045135,-0.980770468711853,-0.2807057201862335,-0.2500784397125244,0.6884481906890869,"[0.0, 0.0, 0.0, 0.0]",-9.452588081359863,3.336233615875244,0.0,-0.22801148891448975,0.03369761258363724,0.0,10,0,192,0,3,3
