mavpackettype,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version,data
ATTITUDE_QUATERNION,2,-0.12968850135803223,50146,0.917288601398468,-0.13232964277267456,0.02042255364358425,0.37503787875175476,0.14301611483097076,-0.08229418843984604,-0.644238293170929,"[0.0, 0.0, 0.0, 0.0]",0.10301521420478821,0.17506158351898193,0.0,0.4877481460571289,0.5045148134231567,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
LOCAL_POSITION_NED,2,-0.12968850135803223,50146,0.917288601398468,-0.13232964277267456,0.02042255364358425,0.37503787875175476,0.14301611483097076,-0.08229418843984604,-0.644238293170929,"[0.0, 0.0, 0.0, 0.0]",0.12846951186656952,0.20001207292079926,0.0,0.5318295955657959,0.5061428546905518,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,0,0.1902136206626892,50146,0.917288601398468,-0.13232964277267456,0.02042255364358425,0.37503787875175476,0.14301611483097076,-0.08229418843984604,-0.644238293170929,"[0.0, 0.0, 0.0, 0.0]",0.12846951186656952,0.20001207292079926,0.0,0.5318295955657959,0.5061428546905518,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,1,0.17180585861206055,50146,0.917288601398468,-0.13232964277267456,0.02042255364358425,0.37503787875175476,0.14301611483097076,-0.08229418843984604,-0.644238293170929,"[0.0, 0.0, 0.0, 0.0]",0.12846951186656952,0.20001207292079926,0.0,0.5318295955657959,0.5061428546905518,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,2,-0.07015085965394974,50146,0.917288601398468,-0.13232964277267456,0.02042255364358425,0.37503787875175476,0.14301611483097076,-0.08229418843984604,-0.644238293170929,"[0.0, 0.0, 0.0, 0.0]",0.12846951186656952,0.20001207292079926,0.0,0.5318295955657959,0.5061428546905518,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
ATTITUDE_QUATERNION,2,-0.07015085965394974,50197,0.9254282712936401,-0.11239573359489441,0.015596115961670876,0.36153367161750793,-0.11931326240301132,0.11105720698833466,-0.277509868144989,"[0.0, 0.0, 0.0, 0.0]",0.12846951186656952,0.20001207292079926,0.0,0.5318295955657959,0.5061428546905518,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
LOCAL_POSITION_NED,2,-0.07015085965394974,50197,0.9254282712936401,-0.11239573359489441,0.015596115961670876,0.36153367161750793,-0.11931326240301132,0.11105720698833466,-0.277509868144989,"[0.0, 0.0, 0.0, 0.0]",0.15660764276981354,0.22608016431331635,0.0,0.5778234601020813,0.5240354537963867,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
GPS_RAW_INT,2,-0.07015085965394974,50197,0.9254282712936401,-0.11239573359489441,0.015596115961670876,0.36153367161750793,-0.11931326240301132,0.11105720698833466,-0.277509868144989,"[0.0, 0.0, 0.0, 0.0]",0.15660764276981354,0.22608016431331635,0.0,0.5778234601020813,0.5240354537963867,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,0,0.15838351845741272,50197,0.9254282712936401,-0.11239573359489441,0.015596115961670876,0.36153367161750793,-0.11931326240301132,0.11105720698833466,-0.277509868144989,"[0.0, 0.0, 0.0, 0.0]",0.15660764276981354,0.22608016431331635,0.0,0.5778234601020813,0.5240354537963867,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,1,0.1913641095161438,50197,0.9254282712936401,-0.11239573359489441,0.015596115961670876,0.36153367161750793,-0.11931326240301132,0.11105720698833466,-0.277509868144989,"[0.0, 0.0, 0.0, 0.0]",0.15660764276981354,0.22608016431331635,0.0,0.5778234601020813,0.5240354537963867,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,2,-0.02329733408987522,50197,0.9254282712936401,-0.11239573359489441,0.015596115961670876,0.36153367161750793,-0.11931326240301132,0.11105720698833466,-0.277509868144989,"[0.0, 0.0, 0.0, 0.0]",0.15660764276981354,0.22608016431331635,0.0,0.5778234601020813,0.5240354537963867,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
ATTITUDE_QUATERNION,2,-0.02329733408987522,50248,0.9298096895217896,-0.10254043340682983,0.0076723042875528336,0.353384405374527,0.13715697824954987,-0.034089501947164536,-0.13262946903705597,"[0.0, 0.0, 0.0, 0.0]",0.15660764276981354,0.22608016431331635,0.0,0.5778234601020813,0.5240354537963867,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
LOCAL_POSITION_NED,2,-0.02329733408987522,50248,0.9298096895217896,-0.10254043340682983,0.0076723042875528336,0.353384405374527,0.13715697824954987,-0.034089501947164536,-0.13262946903705597,"[0.0, 0.0, 0.0, 0.0]",0.18583403527736664,0.2520606219768524,0.0,0.5883739590644836,0.5167427062988281,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,0,0.028378644958138466,50248,0.9298096895217896,-0.10254043340682983,0.0076723042875528336,0.353384405374527,0.13715697824954987,-0.034089501947164536,-0.13262946903705597,"[0.0, 0.0, 0.0, 0.0]",0.18583403527736664,0.2520606219768524,0.0,0.5883739590644836,0.5167427062988281,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,1,0.24236896634101868,50248,0.9298096895217896,-0.10254043340682983,0.0076723042875528336,0.353384405374527,0.13715697824954987,-0.034089501947164536,-0.13262946903705597,"[0.0, 0.0, 0.0, 0.0]",0.18583403527736664,0.2520606219768524,0.0,0.5883739590644836,0.5167427062988281,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,2,-0.003365170443430543,50248,0.9298096895217896,-0.10254043340682983,0.0076723042875528336,0.353384405374527,0.13715697824954987,-0.034089501947164536,-0.13262946903705597,"[0.0, 0.0, 0.0, 0.0]",0.18583403527736664,0.2520606219768524,0.0,0.5883739590644836,0.5167427062988281,0.0,50210006,3,369991055,-1220634986,0,65535,65535,63,794,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
